Created on 08-17-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1544832000.0,2018-12-15,LTCUSD,23.17,23.83,22.89,23.4,152883.92,3562657.16
1544745600.0,2018-12-14,LTCUSD,22.84,23.46,22.17,23.17,213934.62,4878512.25
1544659200.0,2018-12-13,LTCUSD,24,24.17,22.68,22.84,172173.12,4032087.53
1544572800.0,2018-12-12,LTCUSD,23.22,24.89,23.01,24,162500.83,3923099.43
1544486400.0,2018-12-11,LTCUSD,23.97,24.38,22.72,23.28,164065.25,3852646.34
1544400000.0,2018-12-10,LTCUSD,25.3,25.65,23.55,23.97,203874.25,4977740.35
1544313600.0,2018-12-09,LTCUSD,24.19,26.62,24.06,25.3,216983.85,5516359.81
1544227200.0,2018-12-08,LTCUSD,24.77,26.7,22.95,24.19,399853.54,9805793.1
1544140800.0,2018-12-07,LTCUSD,26.25,26.34,22.24,24.77,711696.86,17454260.19
1544054400.0,2018-12-06,LTCUSD,28.71,30.2,25.73,26.25,322613.92,9015919.0
1543968000.0,2018-12-05,LTCUSD,30.71,31.06,28.58,28.71,208970.1,6197846.05
1543881600.0,2018-12-04,LTCUSD,30.5,31.86,29.5,30.71,175540.82,5406859.09
1543795200.0,2018-12-03,LTCUSD,33.34,33.45,29.56,30.5,253956.81,7910329.44
1543708800.0,2018-12-02,LTCUSD,33.77,34.6,32.78,33.34,165147.07,5549736.66
1543622400.0,2018-12-01,LTCUSD,31.65,34.8,31.02,33.77,182729.46,6060324.98
1543536000.0,2018-11-30,LTCUSD,33.5,34.15,30.77,31.66,232383.52,7471132.76
1543449600.0,2018-11-29,LTCUSD,34.43,35.4,32.7,33.5,281310.58,9522686.23
1543363200.0,2018-11-28,LTCUSD,30.85,36,30.71,34.43,459881.44,15506907.84
1543276800.0,2018-11-27,LTCUSD,29.1,31.32,28.23,30.85,276649.15,8196567.04
1543190400.0,2018-11-26,LTCUSD,30.43,31.8,27.56,29.1,451762.94,13387985.1
1543104000.0,2018-11-25,LTCUSD,28.6,31.92,26.37,30.43,540573.9,15430042.66
1543017600.0,2018-11-24,LTCUSD,31.69,32.98,27.67,28.6,327796.99,9755649.36
1542931200.0,2018-11-23,LTCUSD,31.3,32.77,30.33,31.69,241295.09,7557451.08
1542844800.0,2018-11-22,LTCUSD,34.29,34.7,31.13,31.3,200443.3,6662140.89
1542758400.0,2018-11-21,LTCUSD,32.28,34.44,31.06,34.29,353847.55,11621298.66
1542672000.0,2018-11-20,LTCUSD,35.75,37.5,30.25,32.28,737208.95,24541104.14
1542585600.0,2018-11-19,LTCUSD,41.86,41.87,34.73,35.75,488783.21,18238406.92
1542499200.0,2018-11-18,LTCUSD,41.54,42.95,41.5,41.86,67593.77,2841304.77
1542412800.0,2018-11-17,LTCUSD,41.73,41.75,41.15,41.54,65666.56,2720506.51
1542326400.0,2018-11-16,LTCUSD,43.36,43.61,41.25,41.73,115269.62,4893664.92
1542240000.0,2018-11-15,LTCUSD,42.69,43.74,39.41,43.36,301599.0,12702582.57
1542153600.0,2018-11-14,LTCUSD,48.84,49.95,40.06,42.69,525331.39,22827075.56
1542067200.0,2018-11-13,LTCUSD,50.33,50.43,48.31,48.84,92919.55,4594608.72
1541980800.0,2018-11-12,LTCUSD,50.8,51.34,50,50.33,60290.29,3048015.96
1541894400.0,2018-11-11,LTCUSD,51.86,51.99,49.5,50.8,61890.97,3130894.04
1541808000.0,2018-11-10,LTCUSD,51.66,52.23,51.45,51.86,26446.5,1372234.5
1541721600.0,2018-11-09,LTCUSD,52.04,52.53,51.07,51.66,69029.83,3569829.48
1541635200.0,2018-11-08,LTCUSD,53.82,54.45,51.9,52.04,84158.76,4461404.57
1541548800.0,2018-11-07,LTCUSD,55.84,56.4,53.3,53.82,115428.72,6328880.82
1541462400.0,2018-11-06,LTCUSD,53.45,55.98,53.43,55.84,135035.44,7344402.38
1541376000.0,2018-11-05,LTCUSD,53.88,54.7,52.58,53.45,98711.96,5273113.93
1541289600.0,2018-11-04,LTCUSD,50.61,55.94,50.47,53.88,140350.55,7533090.33
1541203200.0,2018-11-03,LTCUSD,51.13,51.25,50.34,50.61,41411.14,2105011.84
1541116800.0,2018-11-02,LTCUSD,50.19,51.66,50.08,51.13,68870.11,3510457.98
1541030400.0,2018-11-01,LTCUSD,49.47,50.45,49.4,50.19,64196.39,3199251.1
1540944000.0,2018-10-31,LTCUSD,48.95,50.32,47.6,49.47,87354.81,4289513.06
1540857600.0,2018-10-30,LTCUSD,48.44,49.15,48.36,48.95,75959.68,3704735.5
1540771200.0,2018-10-29,LTCUSD,51.53,51.63,47.34,48.44,155677.43,7645676.5
1540684800.0,2018-10-28,LTCUSD,51.53,51.66,51.11,51.53,37565.28,1930645.5
1540598400.0,2018-10-27,LTCUSD,51.59,51.82,51.3,51.53,34674.63,1786316.2
1540512000.0,2018-10-26,LTCUSD,51.71,52.38,51.16,51.59,61266.43,3166802.58
1540425600.0,2018-10-25,LTCUSD,51.85,51.96,51.54,51.71,40780.03,2109990.65
1540339200.0,2018-10-24,LTCUSD,52.1,52.59,51.7,51.85,61781.25,3218217.57
1540252800.0,2018-10-23,LTCUSD,51.67,52.49,51.4,52.1,63509.19,3293643.28
1540166400.0,2018-10-22,LTCUSD,52.23,52.49,51.4,51.67,68519.49,3553547.81
1540080000.0,2018-10-21,LTCUSD,52.83,53.11,52.03,52.23,50064.64,2638376.42
1539993600.0,2018-10-20,LTCUSD,52.5,53,52.08,52.83,53320.38,2803078.65
1539907200.0,2018-10-19,LTCUSD,51.73,53.12,51.47,52.5,81075.03,4244240.37
1539820800.0,2018-10-18,LTCUSD,52.81,53.39,51.01,51.73,82174.6,4286196.91
1539734400.0,2018-10-17,LTCUSD,53.1,53.24,52.25,52.81,102032.11,5374713.5
1539648000.0,2018-10-16,LTCUSD,53.39,53.44,53.39,53.44,0.0,0.0
1539561600.0,2018-10-15,LTCUSD,51.36,56.77,51.01,53.39,295022.87,15860780.45
1539475200.0,2018-10-14,LTCUSD,53.05,53.35,51.1,51.36,69342.8,3630176.5
1539388800.0,2018-10-13,LTCUSD,53.03,53.85,52.52,53.05,74551.19,3966962.55
1539302400.0,2018-10-12,LTCUSD,50.55,53.43,50.15,53.03,139811.97,7286078.4
1539216000.0,2018-10-11,LTCUSD,57.49,57.49,50.04,50.55,356799.37,18675095.1
1539129600.0,2018-10-10,LTCUSD,58.43,58.46,56.85,57.49,90734.4,5211529.05
1539043200.0,2018-10-09,LTCUSD,59.24,59.4,58.02,58.43,60769.49,3561212.15
1538956800.0,2018-10-08,LTCUSD,57.9,59.79,57.36,59.24,102008.01,5991199.8
1538870400.0,2018-10-07,LTCUSD,57.7,58.22,56.85,57.9,53935.11,3105661.63
1538784000.0,2018-10-06,LTCUSD,58.47,58.67,56.7,57.7,61074.98,3520809.29
1538697600.0,2018-10-05,LTCUSD,58,59.45,57.23,58.47,84392.18,4902017.67
1538611200.0,2018-10-04,LTCUSD,57.25,58.9,57.08,58,88523.49,5161534.05
1538524800.0,2018-10-03,LTCUSD,59.2,59.32,56.55,57.25,140498.13,8075197.11
1538438400.0,2018-10-02,LTCUSD,60.22,61.3,58.6,59.2,106921.89,6404652.31
1538352000.0,2018-10-01,LTCUSD,61.05,61.8,59.23,60.22,132603.2,8009840.33
1538265600.0,2018-09-30,LTCUSD,61.45,62.99,59.76,61.05,133090.27,8104877.81
1538179200.0,2018-09-29,LTCUSD,61.75,62.36,59.05,61.45,112461.91,6842964.12
1538092800.0,2018-09-28,LTCUSD,63.11,64.68,60.12,61.75,179051.88,11130512.53
1538006400.0,2018-09-27,LTCUSD,57.21,65.6,56.68,63.11,383236.46,23798594.14
1537920000.0,2018-09-26,LTCUSD,57.57,59.78,56.37,57.21,183266.01,10602570.32
1537833600.0,2018-09-25,LTCUSD,57.94,58.08,54.33,57.57,246934.35,13918199.03
1537747200.0,2018-09-24,LTCUSD,61.31,61.4,57.07,57.94,176134.6,10352482.69
1537660800.0,2018-09-23,LTCUSD,60.53,63.47,59.83,61.31,155743.69,9564327.11
1537574400.0,2018-09-22,LTCUSD,60.83,61.68,58.11,60.53,152108.16,9147292.73
1537488000.0,2018-09-21,LTCUSD,56.56,62.75,56.32,60.83,291859.97,17227186.97
1537401600.0,2018-09-20,LTCUSD,54.28,57.34,53.37,56.56,138835.05,7621884.46
1537315200.0,2018-09-19,LTCUSD,54,54.98,51.7,54.28,208320.35,11159610.33
1537228800.0,2018-09-18,LTCUSD,52.05,55.49,50.55,54,167886.39,8902922.73
1537142400.0,2018-09-17,LTCUSD,56.78,57.85,51.44,52.05,231736.54,12528090.97
1537056000.0,2018-09-16,LTCUSD,56.34,57.45,54.45,56.78,109936.06,6179242.71
1536969600.0,2018-09-15,LTCUSD,56.33,58.73,55.55,56.34,117131.5,6717625.06
1536883200.0,2018-09-14,LTCUSD,54.66,58.9,52.92,56.33,275176.16,15305874.54
1536796800.0,2018-09-13,LTCUSD,51.6,55.42,51.6,54.66,250286.31,13494696.35
1536710400.0,2018-09-12,LTCUSD,51.97,52.08,47.19,51.6,305066.54,15222516.24
1536624000.0,2018-09-11,LTCUSD,54.3,54.81,50,51.97,194823.82,10177899.62
1536537600.0,2018-09-10,LTCUSD,54.71,56.49,53.05,54.3,127290.87,6935616.61
1536451200.0,2018-09-09,LTCUSD,53.2,56.74,52.17,54.71,125490.18,6848424.77
1536364800.0,2018-09-08,LTCUSD,55.5,57.28,51.9,53.2,145581.99,7882121.73
1536278400.0,2018-09-07,LTCUSD,57.48,58.93,55.01,55.5,146384.06,8301902.56
1536192000.0,2018-09-06,LTCUSD,57.68,57.75,53.79,57.48,366328.37,20382126.98
1536105600.0,2018-09-05,LTCUSD,67.75,68.35,57.41,57.68,353281.47,21920710.12
1536019200.0,2018-09-04,LTCUSD,65.37,69.44,65.32,67.75,165774.37,11240472.95
1535932800.0,2018-09-03,LTCUSD,66.23,66.51,64.44,65.37,94166.71,6146155.2
1535846400.0,2018-09-02,LTCUSD,66.47,66.85,64.1,66.23,121828.54,7981651.12
1535760000.0,2018-09-01,LTCUSD,62.13,67.96,62.12,66.47,196193.82,12784799.92
1535673600.0,2018-08-31,LTCUSD,60.25,62.8,59.55,62.13,103438.9,6324359.1
1535587200.0,2018-08-30,LTCUSD,61.54,61.75,58.58,60.25,130797.92,7835350.54
1535500800.0,2018-08-29,LTCUSD,63.18,63.44,60.27,61.54,138425.71,8565803.84
1535414400.0,2018-08-28,LTCUSD,60.7,63.91,59.76,63.18,199238.75,12290483.24
1535328000.0,2018-08-27,LTCUSD,57.11,61.14,56.64,60.7,127822.78,7473068.88
1535241600.0,2018-08-26,LTCUSD,58.01,58.2,56.02,57.11,71919.72,4089626.98
1535155200.0,2018-08-25,LTCUSD,57.94,58.36,57.08,58.01,59893.99,3467307.65
