Created on 08-17-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
1584576000.0,2020-03-19,XRPUSD,0.148,0.1732,0.1447,0.1656,29176356.44,4601331.53
1584489600.0,2020-03-18,XRPUSD,0.1481,0.1498,0.1406,0.148,21334472.82,3099352.85
1584403200.0,2020-03-17,XRPUSD,0.141,0.1547,0.1404,0.1481,28475163.27,4209427.99
1584316800.0,2020-03-16,XRPUSD,0.1526,0.1526,0.128,0.141,42494084.36,5939770.02
1584230400.0,2020-03-15,XRPUSD,0.1458,0.1643,0.1445,0.1526,24776506.37,3774085.52
1584144000.0,2020-03-14,XRPUSD,0.1603,0.1606,0.1434,0.1458,18562106.38,2840662.94
1584057600.0,2020-03-13,XRPUSD,0.1366,0.17,0.1165,0.1603,122816395.53,17581182.81
1583971200.0,2020-03-12,XRPUSD,0.2074,0.21,0.12,0.1366,157737385.44,24869879.44
1583884800.0,2020-03-11,XRPUSD,0.2116,0.2135,0.1989,0.2074,20348708.73,4165197.22
1583798400.0,2020-03-10,XRPUSD,0.2098,0.2157,0.2055,0.2116,14067969.38,2962482.03
1583712000.0,2020-03-09,XRPUSD,0.2039,0.2115,0.1982,0.2098,24777750.76,5095327.64
1583625600.0,2020-03-08,XRPUSD,0.2367,0.2367,0.2001,0.2039,26638117.94,5728324.56
1583539200.0,2020-03-07,XRPUSD,0.2453,0.2457,0.2356,0.2367,8201281.1,1972749.16
1583452800.0,2020-03-06,XRPUSD,0.2393,0.2465,0.2383,0.2453,7111026.93,1724144.0
1583366400.0,2020-03-05,XRPUSD,0.2348,0.2435,0.2348,0.2393,8381240.95,2004751.93
1583280000.0,2020-03-04,XRPUSD,0.2339,0.2382,0.2302,0.2348,6842149.78,1602313.87
1583193600.0,2020-03-03,XRPUSD,0.2392,0.2396,0.2297,0.2339,9760607.87,2288489.41
1583107200.0,2020-03-02,XRPUSD,0.227,0.2416,0.2255,0.2392,9407127.41,2217254.76
1583020800.0,2020-03-01,XRPUSD,0.2288,0.236,0.224,0.227,9886576.7,2271033.24
1582934400.0,2020-02-29,XRPUSD,0.2369,0.2427,0.2288,0.2288,8572518.78,2018269.74
1582848000.0,2020-02-28,XRPUSD,0.2382,0.244,0.2281,0.2369,18133034.45,4263311.7
1582761600.0,2020-02-27,XRPUSD,0.2289,0.2477,0.2236,0.2382,18986763.78,4505288.33
1582675200.0,2020-02-26,XRPUSD,0.2521,0.2549,0.2233,0.2289,34623130.1,8196136.52
1582588800.0,2020-02-25,XRPUSD,0.2708,0.2708,0.2511,0.2521,13025378.6,3372582.16
1582502400.0,2020-02-24,XRPUSD,0.2842,0.2853,0.264,0.2708,15656616.87,4269444.6
1582416000.0,2020-02-23,XRPUSD,0.2756,0.2861,0.2751,0.2842,11204763.45,3161685.98
1582329600.0,2020-02-22,XRPUSD,0.2747,0.2781,0.2709,0.2756,4737360.33,1298706.2
1582243200.0,2020-02-21,XRPUSD,0.2713,0.2791,0.2685,0.2747,10985397.3,3013776.93
1582156800.0,2020-02-20,XRPUSD,0.2752,0.2816,0.261,0.2713,24162744.04,6564282.42
1582070400.0,2020-02-19,XRPUSD,0.2987,0.309,0.271,0.2752,20851909.92,6053174.82
1581984000.0,2020-02-18,XRPUSD,0.2874,0.3033,0.2761,0.2987,22509854.16,6584091.15
1581897600.0,2020-02-17,XRPUSD,0.2926,0.2951,0.269,0.2874,25546076.59,7181062.87
1581811200.0,2020-02-16,XRPUSD,0.3074,0.3191,0.268,0.2926,36590886.11,10753118.27
1581724800.0,2020-02-15,XRPUSD,0.3368,0.347,0.295,0.3074,33026020.75,10595944.56
1581638400.0,2020-02-14,XRPUSD,0.3274,0.3397,0.3105,0.3368,30762858.21,10105298.16
1581552000.0,2020-02-13,XRPUSD,0.3056,0.34,0.2655,0.3274,75238677.41,24265722.46
1581465600.0,2020-02-12,XRPUSD,0.2826,0.3097,0.2822,0.3056,36193944.76,10727063.36
1581379200.0,2020-02-11,XRPUSD,0.2732,0.2845,0.2671,0.2826,23600926.49,6510274.32
1581292800.0,2020-02-10,XRPUSD,0.2823,0.2833,0.2675,0.2732,14439856.77,3953418.66
1581206400.0,2020-02-09,XRPUSD,0.2776,0.2893,0.277,0.2823,12192172.42,3438079.25
1581120000.0,2020-02-08,XRPUSD,0.279,0.282,0.2635,0.2776,12070730.37,3318108.75
1581033600.0,2020-02-07,XRPUSD,0.2832,0.288,0.2771,0.279,11077867.98,3116245.74
1580947200.0,2020-02-06,XRPUSD,0.2781,0.288,0.2644,0.2832,26427907.5,7388027.24
1580860800.0,2020-02-05,XRPUSD,0.2667,0.2815,0.2663,0.2781,36522696.26,10036722.81
1580774400.0,2020-02-04,XRPUSD,0.2544,0.27,0.2473,0.2667,27806602.51,7257248.52
1580688000.0,2020-02-03,XRPUSD,0.2504,0.2596,0.2466,0.2544,14829314.5,3723305.47
1580601600.0,2020-02-02,XRPUSD,0.2412,0.2615,0.2341,0.2504,21052982.55,5278640.52
1580515200.0,2020-02-01,XRPUSD,0.2389,0.2428,0.2366,0.2412,9025453.29,2163739.21
1580428800.0,2020-01-31,XRPUSD,0.2432,0.2445,0.2337,0.2389,11792358.54,2812542.37
1580342400.0,2020-01-30,XRPUSD,0.235,0.2465,0.2293,0.2432,14004585.21,3334009.22
1580256000.0,2020-01-29,XRPUSD,0.2396,0.2417,0.2338,0.235,8634546.44,2055398.92
1580169600.0,2020-01-28,XRPUSD,0.2304,0.241,0.2304,0.2396,11119537.77,2614471.94
1580083200.0,2020-01-27,XRPUSD,0.2306,0.2333,0.2258,0.2304,9550453.53,2202013.79
1579996800.0,2020-01-26,XRPUSD,0.2204,0.2317,0.2175,0.2306,9155330.93,2057085.02
1579910400.0,2020-01-25,XRPUSD,0.2216,0.222,0.2165,0.2204,3998397.89,875645.48
1579824000.0,2020-01-24,XRPUSD,0.2253,0.2259,0.2135,0.2216,13061836.51,2884406.64
1579737600.0,2020-01-23,XRPUSD,0.2366,0.2366,0.2208,0.2253,14682654.36,3335822.58
1579651200.0,2020-01-22,XRPUSD,0.237,0.2395,0.2303,0.2366,11366621.67,2673265.39
1579564800.0,2020-01-21,XRPUSD,0.2326,0.2415,0.2291,0.237,16680873.14,3937392.38
1579478400.0,2020-01-20,XRPUSD,0.2356,0.2365,0.2236,0.2326,13416361.9,3099369.65
1579392000.0,2020-01-19,XRPUSD,0.2431,0.2515,0.2268,0.2356,19785359.27,4720995.55
1579305600.0,2020-01-18,XRPUSD,0.2388,0.2541,0.2318,0.2431,21689112.91,5270836.74
1579219200.0,2020-01-17,XRPUSD,0.2292,0.2443,0.2264,0.2388,18673045.81,4406596.64
1579132800.0,2020-01-16,XRPUSD,0.2337,0.2348,0.2221,0.2292,13596270.47,3088253.84
1579046400.0,2020-01-15,XRPUSD,0.2352,0.2432,0.2262,0.2337,25215304.6,5930054.73
1578960000.0,2020-01-14,XRPUSD,0.2114,0.2451,0.2114,0.2352,40923663.05,9465262.84
